model,scheme,weighting,n,dropped_missing,in_sample_rmse_ppb,in_sample_r2,held_out_rmse_ppb,held_out_r2,detail
constant (global mean),leave-one-province-out,unweighted,927,0,14.8652,0.0,16.0732,-0.1691,
constant (global mean),leave-one-province-out,by sounding count,927,0,7.7898,0.0,8.1241,-0.0877,
constant (global mean),spatial blocks,unweighted,927,0,14.8652,0.0,14.9255,-0.0081,
constant (global mean),spatial blocks,by sounding count,927,0,7.7898,0.0,7.8017,-0.003,
constant (per province),leave-one-province-out,unweighted,927,0,13.8694,0.1295,16.0732,-0.1691,groups: 5
constant (per province),leave-one-province-out,by sounding count,927,0,7.5029,0.0723,8.1241,-0.0877,groups: 5
constant (per province),spatial blocks,unweighted,927,0,13.8694,0.1295,14.1014,0.1001,groups: 5
constant (per province),spatial blocks,by sounding count,927,0,7.5029,0.0723,7.562,0.0576,groups: 5
spatial null (queen neighbour mean),leave-one-province-out,unweighted,927,0,8.3568,0.684,15.5183,-0.0898,602 test cells had no training neighbour
spatial null (queen neighbour mean),leave-one-province-out,by sounding count,927,0,2.677,0.8819,7.7975,-0.002,602 test cells had no training neighbour
spatial null (queen neighbour mean),spatial blocks,unweighted,927,0,8.3568,0.684,12.024,0.3457,349 test cells had no training neighbour
spatial null (queen neighbour mean),spatial blocks,by sounding count,927,0,2.677,0.8819,5.4553,0.5096,349 test cells had no training neighbour
OLS impervious_fraction,leave-one-province-out,unweighted,927,0,13.9476,0.1197,15.6737,-0.1117,intercept +1884.4701; impervious_fraction +41.1596
OLS impervious_fraction,leave-one-province-out,by sounding count,927,0,7.6059,0.0467,8.4092,-0.1653,intercept +1890.5380; impervious_fraction +16.0810
OLS impervious_fraction,spatial blocks,unweighted,927,0,13.9476,0.1197,14.2161,0.0854,intercept +1884.4701; impervious_fraction +41.1596
OLS impervious_fraction,spatial blocks,by sounding count,927,0,7.6059,0.0467,7.6883,0.0259,intercept +1890.5380; impervious_fraction +16.0810
constant (global mean) [rice sample],leave-one-province-out,unweighted,532,0,10.8862,0.0,10.9219,-0.0066,
constant (global mean) [rice sample],leave-one-province-out,by sounding count,532,0,4.6236,0.0,5.3036,-0.3157,
constant (global mean) [rice sample],spatial blocks,unweighted,532,0,10.8862,0.0,11.0712,-0.0343,
constant (global mean) [rice sample],spatial blocks,by sounding count,532,0,4.6236,0.0,4.8327,-0.0925,
constant (per province) [rice sample],leave-one-province-out,unweighted,532,0,10.8371,0.009,10.9219,-0.0066,groups: 5
constant (per province) [rice sample],leave-one-province-out,by sounding count,532,0,4.2211,0.1665,5.3036,-0.3157,groups: 5
constant (per province) [rice sample],spatial blocks,unweighted,532,0,10.8371,0.009,11.2086,-0.0601,groups: 5
